OG_sentences,gen_sentences,cosine_similarity_BERT,jaccard_similarity_BERT
A group of kids is playing in a yard and an old man is standing in the background,crew boy running grassland past man standing premise,0.6992168,0.5143063178768864
A group of boys in a yard is playing and a man is standing in the background,crew boy grassland running man standing premise,0.7043644,0.5251908874511719
A group of children is playing in the house and there is no man standing in the background,crew boy running family man standing premise,0.2177898,0.5467771768569947
The young boys are playing outdoors and the man is smiling nearby,young boy running departure man humour vicinity,0.650306,0.47928819358348845
The kids are playing outdoors near a man with a smile,boy running departure vicinity man humour,0.58472395,0.472384641567866
There is no boy playing outdoors and there is no man smiling,boy running departure man humour,0.2841516,0.488398485323962
A brown dog is attacking another animal in front of the tall man in pants,dark pet attacker somebody pet forepart mountain man garment,0.5781064,0.457623245716095
A brown dog is attacking another animal in front of the man in pants,dark pet attacker somebody pet forepart man garment,0.5969157,0.4636897263319596
A brown dog is helping another animal in front of the man in pants,dark pet favour somebody pet forepart man garment,0.5452677,0.4496063538219618
Two dogs are fighting,give pet dispute,0.42887414,0.30253822462899344
Two dogs are wrestling and hugging,give pet dispute wrapping,0.44932395,0.3589776700193232
There is no dog wrestling and hugging,pet dispute wrapping,0.29409218,0.49522642113945703
A person in a black jacket is doing tricks on a motorbike,man dark jacket deceit bike,0.619318,0.583926658881338
A man in a black jacket is doing tricks on a motorbike,man dark jacket deceit bike,0.67301464,0.5841379793066728
There is no man in a black jacket doing tricks on a motorbike,man dark jacket deceit bike,0.5183261,0.5778435170650482
A person on a black motorbike is doing tricks with a jacket,man dark bike deceit jacket,0.6520316,0.5778830302389044
A skilled person is riding a bicycle on one wheel,adeptness man sailing bike somebody bike,0.78784657,0.4348786440160539
A person is riding the bicycle on one wheel,man sailing bike somebody bike,0.73215723,0.5017656513622829
Nobody is riding the bicycle on one wheel,somebody sailing bike somebody bike,0.53107774,0.46644877470456636
A man with a jersey is dunking the ball at a basketball game,man garment dip bottle bottle role,0.38418764,0.44341265261173246
The ball is being dunked by a man with a jersey at a basketball game,bottle being dip man garment bottle role,0.34437987,0.48099125727363257
There is no man dunking the ball at a basketball game,man dip bottle bottle role,0.19180831,0.4284059738411623
