,sentences
0,A group of kids is playing in a yard and an old man is standing in the background
1,A group of boys in a yard is playing and a man is standing in the background
2,A group of children is playing in the house and there is no man standing in the background
3,The young boys are playing outdoors and the man is smiling nearby
4,The kids are playing outdoors near a man with a smile
5,There is no boy playing outdoors and there is no man smiling
6,A brown dog is attacking another animal in front of the tall man in pants
7,A brown dog is attacking another animal in front of the man in pants
8,A brown dog is helping another animal in front of the man in pants
9,Two dogs are fighting
10,Two dogs are wrestling and hugging
11,There is no dog wrestling and hugging
12,A person in a black jacket is doing tricks on a motorbike
13,A man in a black jacket is doing tricks on a motorbike
14,There is no man in a black jacket doing tricks on a motorbike
15,A person on a black motorbike is doing tricks with a jacket
16,A skilled person is riding a bicycle on one wheel
17,A person is riding the bicycle on one wheel
18,Nobody is riding the bicycle on one wheel
19,A man with a jersey is dunking the ball at a basketball game
20,The ball is being dunked by a man with a jersey at a basketball game
21,There is no man dunking the ball at a basketball game
22,The game of basketball consists of a ball being dunked by a man with a jersey
23,A man who is playing dunks the basketball into the net and a crowd is in background
24,The player is dunking the basketball into the net and a crowd is in background
25,The player is missing the basket and a crowd is in background
26,Two people are kickboxing and spectators are watching
27,Two people are fighting and spectators are watching
28,Two people are kickboxing and spectators are not watching
29,Two spectators are kickboxing and some people are watching
30,Two young women are sparring in a kickboxing fight
31,Two women are sparring in a kickboxing match
32,Two young women are not sparring in a kickboxing fight
33,Kids in red shirts are playing in the leaves
34,Children in red shirts are playing in the leaves
35,Children in red shirts are sleeping in the leaves
36,Children covered by leaves are playing with red shirts
37,Three boys are jumping in the leaves
38,Three kids are jumping in the leaves
39,Three kids are sitting in the leaves
40,Two children are lying in the snow and are drawing angels
41,Two children are lying in the snow and are making snow angels
42,There is no child lying in the snow and making snow angels
43,Two angels are making snow on the lying children
44,Two people wearing snowsuits are on the ground making snow angels
45,Two people in snowsuits are lying in the snow and making snow angels
46,Nobody in snowsuits is lying in the snow and making snow angels
47,A little girl is looking at a woman in costume
48,A young girl is looking at a woman in costume
49,The little girl is looking at a man in costume
50,A little girl in costume looks like a woman
51,People wearing costumes are gathering in a forest and are looking in the same direction
52,Masked people are looking in the same direction in a forest
53,People wearing costumes are scattering in a forest and are looking in different directions
54,People are looking at some costumes gathered in the vicinity of the forest
55,A lone biker is jumping in the air
56,"A biker is jumping in the air, alone"
57,There is no biker jumping in the air
58,A man is jumping into an empty swimming pool
59,A man is jumping into an empty pool
60,A man is jumping into a full pool
61,The man's jumper is in the empty pool
62,Four kids are doing backbends in the park
63,Four children are doing backbends in the park
64,Four children are doing backbends in the gym
65,Four girls are doing backbends and playing in the garden
66,Four girls are doing backbends and playing outdoors
