OG_sentences,gen_sentences,cosine_similarity_BERT,jaccard_similarity_BERT
A group of kids is playing in a yard and an old man is standing in the background,team child performing court senior man standing aftermath,0.49032584,0.5200285403816788
A group of boys in a yard is playing and a man is standing in the background,team boy court performing man standing aftermath,0.6500356,0.5303876304626465
A group of children is playing in the house and there is no man standing in the background,team child performing mansion man standing aftermath,0.3905126,0.5488951893953177
The young boys are playing outdoors and the man is smiling nearby,young boy performing exterior man humour neighborhood,0.7308644,0.5184896055020785
The kids are playing outdoors near a man with a smile,child performing exterior neighborhood man humour,0.6915405,0.5237553715705872
There is no boy playing outdoors and there is no man smiling,boy performing exterior man humour,0.22219425,0.5296597831389483
A brown dog is attacking another animal in front of the tall man in pants,brown cat attacker alter beast top long man shirt,0.6108886,0.5059969474871954
A brown dog is attacking another animal in front of the man in pants,brown cat attacker alter beast top man shirt,0.6040604,0.5050386867739938
A brown dog is helping another animal in front of the man in pants,brown cat supporting alter beast top man shirt,0.32122546,0.5032007938081567
Two dogs are fighting,two cat fighting,0.36819407,0.5049758468355451
Two dogs are wrestling and hugging,two cat fighting seizing,0.3594488,0.5002510994672775
There is no dog wrestling and hugging,cat fighting seizing,0.2564069,0.48788627485434216
A person in a black jacket is doing tricks on a motorbike,person grey jacket deception bike,0.591097,0.5695680379867554
A man in a black jacket is doing tricks on a motorbike,man grey jacket deception bike,0.6297745,0.5659717164541546
There is no man in a black jacket doing tricks on a motorbike,man grey jacket deception bike,0.47436678,0.5639409512281418
A person on a black motorbike is doing tricks with a jacket,person grey bike deception jacket,0.6259556,0.5649950755269904
A skilled person is riding a bicycle on one wheel,skill person ride bike person wheel,0.8776658,0.5077233053743839
A person is riding the bicycle on one wheel,person ride bike person wheel,0.8803079,0.5109187875475202
Nobody is riding the bicycle on one wheel,person ride bike person wheel,0.4710548,0.4667557432101323
A man with a jersey is dunking the ball at a basketball game,man shirt dip bottle bottle player,0.49028933,0.490283676981926
The ball is being dunked by a man with a jersey at a basketball game,bottle being dip man shirt bottle player,0.47871384,0.5191258788108826
There is no man dunking the ball at a basketball game,man dip bottle bottle player,0.23687372,0.4503546216908623
The game of basketball consists of a ball being dunked by a man with a jersey,player bottle include bottle being dip man shirt,0.45422858,0.5126708006858826
A man who is playing dunks the basketball into the net and a crowd is in background,man performing dip bottle direct heap aftermath,0.44669747,0.5130938360324273
