pair_ID,sentence_A,sentence_B,relatedness_score,cosine_similarity_BERT
1,A group of kids is playing in a yard and an old man is standing in the background,A group of boys in a yard is playing and a man is standing in the background,0.875,0.9173105
2,A group of children is playing in the house and there is no man standing in the background,A group of kids is playing in a yard and an old man is standing in the background,0.55,0.40554035
3,The young boys are playing outdoors and the man is smiling nearby,The kids are playing outdoors near a man with a smile,0.925,0.962114
4,The young boys are playing outdoors and the man is smiling nearby,There is no boy playing outdoors and there is no man smiling,0.65,0.20875382
5,The kids are playing outdoors near a man with a smile,A group of kids is playing in a yard and an old man is standing in the background,0.6,0.75469935
6,There is no boy playing outdoors and there is no man smiling,A group of kids is playing in a yard and an old man is standing in the background,0.575,0.28917256
7,A group of boys in a yard is playing and a man is standing in the background,The young boys are playing outdoors and the man is smiling nearby,0.675,0.84029603
8,A group of children is playing in the house and there is no man standing in the background,The young boys are playing outdoors and the man is smiling nearby,0.5,0.18672559
9,The young boys are playing outdoors and the man is smiling nearby,A group of kids is playing in a yard and an old man is standing in the background,0.675,0.73576516
10,A brown dog is attacking another animal in front of the tall man in pants,A brown dog is attacking another animal in front of the man in pants,0.9750000000000001,0.9515425
11,A brown dog is attacking another animal in front of the man in pants,A brown dog is helping another animal in front of the man in pants,0.66625,0.7231039
12,Two dogs are fighting,Two dogs are wrestling and hugging,0.75,0.6834079
13,Two dogs are wrestling and hugging,There is no dog wrestling and hugging,0.575,0.23286916
14,A brown dog is attacking another animal in front of the man in pants,Two dogs are fighting,0.625,0.7438544
15,A brown dog is attacking another animal in front of the man in pants,There is no dog wrestling and hugging,0.42500000000000004,0.13707367
16,Two dogs are wrestling and hugging,A brown dog is attacking another animal in front of the tall man in pants,0.475,0.55257344
17,Two dogs are wrestling and hugging,A brown dog is helping another animal in front of the man in pants,0.32499999999999996,0.60528356
18,A brown dog is attacking another animal in front of the man in pants,Two dogs are wrestling and hugging,0.55,0.5972805
19,A person in a black jacket is doing tricks on a motorbike,A man in a black jacket is doing tricks on a motorbike,0.9750000000000001,0.9072225
20,There is no man in a black jacket doing tricks on a motorbike,A person in a black jacket is doing tricks on a motorbike,0.65,0.43547702
21,A person in a black jacket is doing tricks on a motorbike,A person on a black motorbike is doing tricks with a jacket,0.5,0.95749456
22,A skilled person is riding a bicycle on one wheel,A person is riding the bicycle on one wheel,0.825,0.9087374
23,Nobody is riding the bicycle on one wheel,A person is riding the bicycle on one wheel,0.7749999999999999,0.61847895
24,A person in a black jacket is doing tricks on a motorbike,A skilled person is riding a bicycle on one wheel,0.6,0.6246425
25,Nobody is riding the bicycle on one wheel,A person in a black jacket is doing tricks on a motorbike,0.44999999999999996,0.31046513
26,A person is riding the bicycle on one wheel,A man in a black jacket is doing tricks on a motorbike,0.675,0.5486682
27,A person is riding the bicycle on one wheel,There is no man in a black jacket doing tricks on a motorbike,0.55,0.45523018
28,A person on a black motorbike is doing tricks with a jacket,A person is riding the bicycle on one wheel,0.6,0.55466175
29,A person is riding the bicycle on one wheel,A person in a black jacket is doing tricks on a motorbike,0.575,0.6151627
30,A man with a jersey is dunking the ball at a basketball game,The ball is being dunked by a man with a jersey at a basketball game,0.9750000000000001,0.98945767
31,A man with a jersey is dunking the ball at a basketball game,There is no man dunking the ball at a basketball game,0.75,0.60105276
32,The game of basketball consists of a ball being dunked by a man with a jersey,A man with a jersey is dunking the ball at a basketball game,0.8,0.9302877
33,A man who is playing dunks the basketball into the net and a crowd is in background,The player is dunking the basketball into the net and a crowd is in background,0.925,0.9600707
34,The player is missing the basket and a crowd is in background,The player is dunking the basketball into the net and a crowd is in background,0.725,0.43090072
35,A man with a jersey is dunking the ball at a basketball game,A man who is playing dunks the basketball into the net and a crowd is in background,0.65,0.93570125
36,A man with a jersey is dunking the ball at a basketball game,The player is missing the basket and a crowd is in background,0.625,0.35274583
37,The player is dunking the basketball into the net and a crowd is in background,The ball is being dunked by a man with a jersey at a basketball game,0.75,0.8834213
38,There is no man dunking the ball at a basketball game,The player is dunking the basketball into the net and a crowd is in background,0.625,0.5685705
39,The game of basketball consists of a ball being dunked by a man with a jersey,The player is dunking the basketball into the net and a crowd is in background,0.65,0.89971054
40,The player is dunking the basketball into the net and a crowd is in background,A man with a jersey is dunking the ball at a basketball game,0.7,0.8792842
41,Two people are kickboxing and spectators are watching,Two people are fighting and spectators are watching,0.8500000000000001,0.7461582
42,Two people are kickboxing and spectators are not watching,Two people are kickboxing and spectators are watching,0.6,0.7437133
43,Two spectators are kickboxing and some people are watching,Two people are kickboxing and spectators are watching,0.75,0.9856468
44,Two young women are sparring in a kickboxing fight,Two women are sparring in a kickboxing match,0.9750000000000001,0.9834466
45,Two young women are not sparring in a kickboxing fight,Two women are sparring in a kickboxing match,0.725,0.5885656
46,Two people are kickboxing and spectators are watching,Two young women are sparring in a kickboxing fight,0.725,0.6879071
47,Two people are kickboxing and spectators are watching,Two young women are not sparring in a kickboxing fight,0.60375,0.34762654
48,Two women are sparring in a kickboxing match,Two people are fighting and spectators are watching,0.675,0.5785891
49,Two women are sparring in a kickboxing match,Two people are kickboxing and spectators are not watching,0.675,0.56075156
50,Two spectators are kickboxing and some people are watching,Two women are sparring in a kickboxing match,0.65,0.66984206
51,Two people are kickboxing and spectators are watching,Two women are sparring in a kickboxing match,0.725,0.69366765
52,Kids in red shirts are playing in the leaves,Children in red shirts are playing in the leaves,0.9750000000000001,0.9971875
53,Children in red shirts are playing in the leaves,Children in red shirts are sleeping in the leaves,0.75,0.41955602
54,Children in red shirts are playing in the leaves,Children covered by leaves are playing with red shirts,0.725,0.96911454
55,Three boys are jumping in the leaves,Three kids are jumping in the leaves,0.8500000000000001,0.8968226
56,Three kids are sitting in the leaves,Three kids are jumping in the leaves,0.7,0.6357932
57,Three boys are jumping in the leaves,Children in red shirts are playing in the leaves,0.7749999999999999,0.7417489
58,Children in red shirts are playing in the leaves,Three kids are sitting in the leaves,0.625,0.5861473
59,Kids in red shirts are playing in the leaves,Three kids are jumping in the leaves,0.725,0.7985599
60,Children in red shirts are sleeping in the leaves,Three kids are jumping in the leaves,0.525,0.21496987
61,Children covered by leaves are playing with red shirts,Three kids are jumping in the leaves,0.725,0.74953055
62,Children in red shirts are playing in the leaves,Three kids are jumping in the leaves,0.75,0.79959154
63,Two children are lying in the snow and are drawing angels,Two children are lying in the snow and are making snow angels,0.8500000000000001,0.91316897
64,Two children are lying in the snow and are making snow angels,There is no child lying in the snow and making snow angels,0.7,0.5777766
65,Two angels are making snow on the lying children,Two children are lying in the snow and are making snow angels,0.475,0.85466135
66,Two people wearing snowsuits are on the ground making snow angels,Two people in snowsuits are lying in the snow and making snow angels,0.95,0.9477124
67,Two people in snowsuits are lying in the snow and making snow angels,Nobody in snowsuits is lying in the snow and making snow angels,0.7749999999999999,0.67161727
68,Two children are lying in the snow and are making snow angels,Two people wearing snowsuits are on the ground making snow angels,0.8999999999999999,0.87995684
69,Two children are lying in the snow and are making snow angels,Nobody in snowsuits is lying in the snow and making snow angels,0.65,0.6038593
70,Two children are lying in the snow and are drawing angels,Two people in snowsuits are lying in the snow and making snow angels,0.7749999999999999,0.85020566
71,There is no child lying in the snow and making snow angels,Two people in snowsuits are lying in the snow and making snow angels,0.575,0.61523914
72,Two people in snowsuits are lying in the snow and making snow angels,Two angels are making snow on the lying children,0.375,0.83798456
73,Two children are lying in the snow and are making snow angels,Two people in snowsuits are lying in the snow and making snow angels,0.8,0.94424486
74,A little girl is looking at a woman in costume,A young girl is looking at a woman in costume,0.925,0.9934106
75,A little girl is looking at a woman in costume,The little girl is looking at a man in costume,0.7,0.79857814
76,A little girl is looking at a woman in costume,A little girl in costume looks like a woman,0.475,0.8882996
77,People wearing costumes are gathering in a forest and are looking in the same direction,Masked people are looking in the same direction in a forest,0.8500000000000001,0.891779
78,People wearing costumes are gathering in a forest and are looking in the same direction,People wearing costumes are scattering in a forest and are looking in different directions,0.55,0.8180724
79,People are looking at some costumes gathered in the vicinity of the forest,People wearing costumes are gathering in a forest and are looking in the same direction,0.65875,0.8687082
80,Masked people are looking in the same direction in a forest,A little girl is looking at a woman in costume,0.07500000000000001,0.19772194
81,A little girl is looking at a woman in costume,People wearing costumes are scattering in a forest and are looking in different directions,0.35,0.23200554
82,A little girl is looking at a woman in costume,People are looking at some costumes gathered in the vicinity of the forest,0.4,0.44582385
83,A young girl is looking at a woman in costume,People wearing costumes are gathering in a forest and are looking in the same direction,0.30000000000000004,0.29789433
84,People wearing costumes are gathering in a forest and are looking in the same direction,The little girl is looking at a man in costume,0.5,0.32518113
85,People wearing costumes are gathering in a forest and are looking in the same direction,A little girl in costume looks like a woman,0.25,0.28226826
86,A little girl is looking at a woman in costume,People wearing costumes are gathering in a forest and are looking in the same direction,0.4,0.28718573
87,A lone biker is jumping in the air,"A biker is jumping in the air, alone",1.0,0.96086764
88,There is no biker jumping in the air,A lone biker is jumping in the air,0.8,0.69054425
89,A man is jumping into an empty swimming pool,A man is jumping into an empty pool,0.95,0.98262215
90,A man is jumping into an empty pool,A man is jumping into a full pool,0.5,0.7956968
91,A man is jumping into an empty pool,The man's jumper is in the empty pool,0.525,0.8512176
92,A lone biker is jumping in the air,A man is jumping into an empty swimming pool,0.15000000000000002,0.4508071
93,A lone biker is jumping in the air,A man is jumping into a full pool,0.175,0.3165016
