pair_ID,sentence_A,sentence_B,relatedness_score,cosine_similarity_BERT,jaccard_similarity_BERT,B_no_stopwords_cosine_BERT,B_no_stopwords_jaccard_BERT
1,A group of kids is playing in a yard and an old man is standing in the background,A group of boys in a yard is playing and a man is standing in the background,0.875,0.9173105,0.4797585334096636,0.84196925,0.5948169994354248
2,A group of children is playing in the house and there is no man standing in the background,A group of kids is playing in a yard and an old man is standing in the background,0.55,0.40554035,0.45238587922520107,0.34318495,0.5550538553641393
3,The young boys are playing outdoors and the man is smiling nearby,The kids are playing outdoors near a man with a smile,0.925,0.962114,0.47311886497165845,0.9576659,0.5781230164898766
4,The young boys are playing outdoors and the man is smiling nearby,There is no boy playing outdoors and there is no man smiling,0.65,0.20875382,0.42037996153036755,0.97692513,0.5791628746425405
5,The kids are playing outdoors near a man with a smile,A group of kids is playing in a yard and an old man is standing in the background,0.6,0.75469935,0.29492332195413523,0.64360994,0.4367346104822661
6,There is no boy playing outdoors and there is no man smiling,A group of kids is playing in a yard and an old man is standing in the background,0.575,0.28917256,0.2901317516962687,0.28599048,0.3920587718486786
7,A group of boys in a yard is playing and a man is standing in the background,The young boys are playing outdoors and the man is smiling nearby,0.675,0.84029603,0.47477910436432935,0.8319259,0.5300216774145762
8,A group of children is playing in the house and there is no man standing in the background,The young boys are playing outdoors and the man is smiling nearby,0.5,0.18672559,0.46776596307754514,0.1798393,0.491597626209259
9,The young boys are playing outdoors and the man is smiling nearby,A group of kids is playing in a yard and an old man is standing in the background,0.675,0.73576516,0.3139059623082479,0.6476809,0.4386735945940018
10,A brown dog is attacking another animal in front of the tall man in pants,A brown dog is attacking another animal in front of the man in pants,0.9750000000000001,0.9515425,0.5029733777046204,0.9267958,0.5959359459255053
11,A brown dog is attacking another animal in front of the man in pants,A brown dog is helping another animal in front of the man in pants,0.66625,0.7231039,0.4753946470362799,0.7096859,0.5579697571017526
12,Two dogs are fighting,Two dogs are wrestling and hugging,0.75,0.6834079,0.3278674266555093,0.61775315,0.39788318342632717
13,Two dogs are wrestling and hugging,There is no dog wrestling and hugging,0.575,0.23286916,0.3779173970222473,0.95195526,0.49726624380458484
14,A brown dog is attacking another animal in front of the man in pants,Two dogs are fighting,0.625,0.7438544,0.42833159036106533,0.7378273,0.44071686092545004
15,A brown dog is attacking another animal in front of the man in pants,There is no dog wrestling and hugging,0.42500000000000004,0.13707367,0.40401448715816846,0.4955828,0.4829946193430159
16,Two dogs are wrestling and hugging,A brown dog is attacking another animal in front of the tall man in pants,0.475,0.55257344,0.21344871683554215,0.5258312,0.28381649404764175
17,Two dogs are wrestling and hugging,A brown dog is helping another animal in front of the man in pants,0.32499999999999996,0.60528356,0.21334631953920638,0.6064888,0.29631195465723675
18,A brown dog is attacking another animal in front of the man in pants,Two dogs are wrestling and hugging,0.55,0.5972805,0.41241387526194256,0.5237503,0.4584689830478869
19,A person in a black jacket is doing tricks on a motorbike,A man in a black jacket is doing tricks on a motorbike,0.9750000000000001,0.9072225,0.4939954074529501,0.89510936,0.5989101309525339
20,There is no man in a black jacket doing tricks on a motorbike,A person in a black jacket is doing tricks on a motorbike,0.65,0.43547702,0.4913534124692281,0.4424182,0.5942762672901154
21,A person in a black jacket is doing tricks on a motorbike,A person on a black motorbike is doing tricks with a jacket,0.5,0.95749456,0.49090288006342375,0.87027335,0.5986304879188538
22,A skilled person is riding a bicycle on one wheel,A person is riding the bicycle on one wheel,0.825,0.9087374,0.4714914560317993,0.8494813,0.5638625065485636
23,Nobody is riding the bicycle on one wheel,A person is riding the bicycle on one wheel,0.7749999999999999,0.61847895,0.4275745994904462,0.68604034,0.5351871664707477
24,A person in a black jacket is doing tricks on a motorbike,A skilled person is riding a bicycle on one wheel,0.6,0.6246425,0.42737407010534534,0.54109013,0.49210482835769653
25,Nobody is riding the bicycle on one wheel,A person in a black jacket is doing tricks on a motorbike,0.44999999999999996,0.31046513,0.2544996539751689,0.3189542,0.33446377515792847
26,A person is riding the bicycle on one wheel,A man in a black jacket is doing tricks on a motorbike,0.675,0.5486682,0.2898738573897969,0.538154,0.3557836572329203
27,A person is riding the bicycle on one wheel,There is no man in a black jacket doing tricks on a motorbike,0.55,0.45523018,0.2579247329546058,0.538154,0.3557836572329203
28,A person on a black motorbike is doing tricks with a jacket,A person is riding the bicycle on one wheel,0.6,0.55466175,0.408982052044435,0.4582203,0.4900028771824307
29,A person is riding the bicycle on one wheel,A person in a black jacket is doing tricks on a motorbike,0.575,0.6151627,0.29074387658726086,0.57532716,0.36001011927922566
30,A man with a jersey is dunking the ball at a basketball game,The ball is being dunked by a man with a jersey at a basketball game,0.9750000000000001,0.98945767,0.446980756521225,0.922456,0.5972492552938915
31,A man with a jersey is dunking the ball at a basketball game,There is no man dunking the ball at a basketball game,0.75,0.60105276,0.4745151377641238,0.9361974,0.5990895211696625
32,The game of basketball consists of a ball being dunked by a man with a jersey,A man with a jersey is dunking the ball at a basketball game,0.8,0.9302877,0.4890093726496543,0.9478828,0.6108501106500626
33,A man who is playing dunks the basketball into the net and a crowd is in background,The player is dunking the basketball into the net and a crowd is in background,0.925,0.9600707,0.5021410514326656,0.90789753,0.6224184584617615
34,The player is missing the basket and a crowd is in background,The player is dunking the basketball into the net and a crowd is in background,0.725,0.43090072,0.39528846740722656,0.48341727,0.5067293738064013
35,A man with a jersey is dunking the ball at a basketball game,A man who is playing dunks the basketball into the net and a crowd is in background,0.65,0.93570125,0.3797375559806824,0.9142573,0.5180028975009918
36,A man with a jersey is dunking the ball at a basketball game,The player is missing the basket and a crowd is in background,0.625,0.35274583,0.3953075638184181,0.400909,0.49624197420321015
37,The player is dunking the basketball into the net and a crowd is in background,The ball is being dunked by a man with a jersey at a basketball game,0.75,0.8834213,0.4197289999574423,0.82847166,0.5559024007424064
38,There is no man dunking the ball at a basketball game,The player is dunking the basketball into the net and a crowd is in background,0.625,0.5685705,0.34881648634161266,0.55699074,0.4712156339695579
39,The game of basketball consists of a ball being dunked by a man with a jersey,The player is dunking the basketball into the net and a crowd is in background,0.65,0.89971054,0.41847711259668524,0.8747088,0.520756276945273
40,The player is dunking the basketball into the net and a crowd is in background,A man with a jersey is dunking the ball at a basketball game,0.7,0.8792842,0.4357457955678304,0.8455683,0.5532755877660669
41,Two people are kickboxing and spectators are watching,Two people are fighting and spectators are watching,0.8500000000000001,0.7461582,0.4547276590999804,0.74305046,0.5218653306365013
42,Two people are kickboxing and spectators are not watching,Two people are kickboxing and spectators are watching,0.6,0.7437133,0.5114126886640277,0.726258,0.5670494735240936
43,Two spectators are kickboxing and some people are watching,Two people are kickboxing and spectators are watching,0.75,0.9856468,0.49847285804294406,0.98347294,0.5565040310223898
